,GR,DT,DRES,DEN,Depth,COND,CAL,Zone_Tertiary,Zone_Paleocene,Zone_Chalk,Zone_Jurassic
3199,32.5471,99.3221,0.6783,2.3585,8188.0,1474.2739,8.2854,0,1,0,0
3200,32.2074,98.4431,0.6737,2.3275,8188.5,1484.3402,8.301,0,1,0,0
3201,33.0417,97.6946,0.6958,2.2909,8189.0,1437.1946,8.3167,0,1,0,0
3202,33.9626,97.275,0.7259,2.2921,8189.5,1377.6002,8.3416,0,1,0,0
3203,34.0276,97.4007,0.745,2.3177,8190.0,1342.2819,8.3688,0,1,0,0
3204,33.1903,98.045,0.7616,2.3487,8190.5,1313.0251,8.3948,0,1,0,0
3205,31.6787,98.9255,0.7865,2.3684,8191.0,1271.4558,8.3742,0,1,0,0
3206,32.1377,99.7226,0.7822,2.3502,8191.5,1278.4454,8.346,0,1,0,0
3207,33.876,100.3888,0.7252,2.3334,8192.0,1378.9299,8.33,0,1,0,0
3208,35.697,100.881,0.7142,2.3282,8192.5,1400.168,8.314,0,1,0,0
3209,36.6379,102.0698,0.7485,2.3419,8193.0,1336.0054,8.3045,0,1,0,0
3210,37.8034,103.6557,0.706,2.349,8193.5,1416.4307,8.3501,0,1,0,0
3211,39.5678,103.709,0.7178,2.3335,8194.0,1393.1456,8.3654,0,1,0,0
3212,41.3828,103.7331,0.6866,2.3187,8194.5,1456.4520000000002,8.3377,0,1,0,0
3213,42.3656,103.7572,0.6731,2.3075,8195.0,1485.6633,8.3102,0,1,0,0
3214,41.5802,102.4539,0.6372,2.3009,8195.5,1569.366,8.2826,0,1,0,0
3215,39.8115,100.424,0.6682,2.2943,8196.0,1496.5579,8.2612,0,1,0,0
3216,38.5728,99.1344,0.7659999999999999,2.2942,8196.5,1305.483,8.2607,0,1,0,0
3217,37.6407,99.0781,0.7492,2.3213,8197.0,1334.7571,8.2784,0,1,0,0
3218,37.8184,99.08,0.6947,2.353,8197.5,1439.4702,8.3018,0,1,0,0
3219,39.9692,99.0773,0.7256,2.3647,8198.0,1378.1698,8.3,0,1,0,0
3220,42.6219,99.0746,0.8137,2.3609,8198.5,1228.9541,8.3011,0,1,0,0
3221,45.2147,99.0718,0.9268,2.3441,8199.0,1078.9814,8.2775,0,1,0,0
