,Wellname,Depth,GR,CAL,DRES,COND,DT,DEN,DTS,Zone_Chalk,Zone_Jurassic,Zone_Paleocene,Zone_Tertiary
3123,22-12a-10,8150.0,59.2685,8.302,0.6767,1477.7598,106.3704,2.4479,213.4192,0,0,1,0
3124,22-12a-10,8150.5,57.2709,8.3016,0.66,1515.1515,105.2498,2.4293,212.2214,0,0,1,0
3125,22-12a-10,8151.0,55.3411,8.3014,0.6562,1523.9257,104.9202,2.4071,210.9104,0,0,1,0
3126,22-12a-10,8151.5,52.6748,8.3202,0.6746,1482.3599,105.4162,2.4123,210.4325,0,0,1,0
3127,22-12a-10,8152.0,49.3223,8.3459,0.6949,1439.056,106.513,2.434,209.8736,0,0,1,0
3128,22-12a-10,8152.5,46.9927,8.347000000000001,0.6813,1467.7822,107.7714,2.4396,209.6944,0,0,1,0
3129,22-12a-10,8153.0,45.4698,8.3511,0.6581,1519.5259,108.7301,2.4088,209.741,0,0,1,0
3130,22-12a-10,8153.5,46.4222,8.3633,0.6496,1539.4088,108.8658,2.3649,210.3332,0,0,1,0
3131,22-12a-10,8154.0,48.7401,8.3539,0.6242,1602.0507,109.4539,2.3637,211.116,0,0,1,0
3132,22-12a-10,8154.5,51.3725,8.3423,0.6414,1559.0896,110.009,2.4011,211.9347,0,0,1,0
3133,22-12a-10,8155.0,52.0983,8.3347,0.6659,1501.7271,109.1866,2.4214,211.8928,0,0,1,0
3134,22-12a-10,8155.5,51.0482,8.2703,0.6824,1465.4163,108.6516,2.4484,210.6038,0,0,1,0
3135,22-12a-10,8156.0,49.4082,8.2614,0.6814,1467.5668,107.1454,2.4456,207.8634,0,0,1,0
3136,22-12a-10,8156.5,47.5487,8.263,0.6581,1519.5259,105.6641,2.4429,205.2303,0,0,1,0
3137,22-12a-10,8157.0,47.1087,8.2647,0.7076,1413.2278,103.7941,2.4489,201.9102,0,0,1,0
3138,22-12a-10,8157.5,48.6572,8.2994,0.7669,1303.9509,103.5329,2.4594,199.6928,0,0,1,0
3139,22-12a-10,8158.0,51.3116,8.3282,0.8283,1207.292,102.3259,2.4545,198.1386,0,0,1,0
3140,22-12a-10,8158.5,53.496,8.3411,0.8504,1175.9172,100.8948,2.4276,198.6161,0,0,1,0
3141,22-12a-10,8159.0,55.428,8.3334,0.8166,1224.5897,101.7922,2.4075,200.0488,0,0,1,0
3142,22-12a-10,8159.5,59.1819,8.3246,0.821,1218.0269,103.5684,2.4107,201.2911,0,0,1,0
3143,22-12a-10,8160.0,63.2612,8.3091,0.7697,1299.2075,105.2721,2.4221,201.9196,0,0,1,0
3144,22-12a-10,8160.5,66.491,8.3011,0.7238,1381.5972,105.0309,2.4296,201.5059,0,0,1,0
3145,22-12a-10,8161.0,67.3191,8.3009,0.6402,1562.0118,103.2849,2.4312,198.3291,0,0,1,0
3146,22-12a-10,8161.5,64.8034,8.2884,0.6929,1443.2097,101.0546,2.4328,192.0956,0,0,1,0
3147,22-12a-10,8162.0,57.3102,8.2723,0.8449,1183.572,98.703,2.4504,185.8465,0,0,1,0
3148,22-12a-10,8162.5,50.2622,8.2776,1.155,865.8009,96.2719,2.4729,182.4337,0,0,1,0
3149,22-12a-10,8163.0,47.3196,8.3014,1.341,745.7122,95.4344,2.4924,182.5102,0,0,1,0
3150,22-12a-10,8163.5,45.9885,8.3015,1.093,914.913,95.4267,2.4923,185.3588,0,0,1,0
3151,22-12a-10,8164.0,48.1271,8.3013,0.8748,1143.1184,98.1369,2.4605,188.78,0,0,1,0
3152,22-12a-10,8164.5,53.6665,8.301,0.7103,1407.8558,101.3667,2.4362,192.2153,0,0,1,0
3153,22-12a-10,8165.0,58.8278,8.3004,0.6958,1437.1946,104.0511,2.4375,193.9763,0,0,1,0
3154,22-12a-10,8165.5,62.5794,8.2982,0.7305,1368.9254,104.0957,2.4474,197.0756,0,0,1,0
3155,22-12a-10,8166.0,62.2869,8.297,0.7085,1411.4325,104.1862,2.441,199.949,0,0,1,0
3156,22-12a-10,8166.5,57.9365,8.2901,0.6874,1454.7571,104.2766,2.4237,202.2601,0,0,1,0
3157,22-12a-10,8167.0,55.6787,8.297,0.6874,1454.7571,104.1785,2.4276,202.9216,0,0,1,0
3158,22-12a-10,8167.5,54.4293,8.3086,0.6855,1458.7892,103.7659,2.4389,203.8233,0,0,1,0
3159,22-12a-10,8168.0,53.8027,8.2941,0.6795,1471.6704,104.241,2.4359,205.1129,0,0,1,0
3160,22-12a-10,8168.5,53.2123,8.2775,0.6685,1495.8864,105.0977,2.4241,206.2067,0,0,1,0
3161,22-12a-10,8169.0,52.3424,8.2617,0.6716,1488.9816,105.3276,2.4151,207.0009,0,0,1,0
